Rank,Rank_Spread_Upper,Rank_Spread_Lower,Model,Score,CI_95,Votes,Organization,License
25,14,30,gpt-5-mini-high,1183,9,29010,OpenAI,Proprietary
26,16,30,grok-4-0709,1182,8,30707,xAI,Proprietary
27,17,30,gemini-1.5-pro-002,1178,8,8916,Google,Proprietary
28,17,34,claude-3-7-sonnet-20250219,1177,9,4663,Anthropic,Proprietary
29,17,34,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1176,11,4073,Google,Proprietary
30,23,37,gemini-2.0-flash-001,1169,7,9745,Google,Proprietary
31,28,41,gpt-4o-2024-05-13,1162,8,23280,OpenAI,Proprietary
32,28,41,claude-3-5-sonnet-20241022,1162,7,10533,Anthropic,Proprietary
33,28,45,glm-4.5v,1157,12,3493,Z.ai,MIT
34,30,44,mistral-medium-2505,1156,9,11457,Mistral,Proprietary
35,28,46,step-1o-turbo-202506,1155,14,2055,StepFun,Proprietary
36,30,45,gemma-3-27b-it,1155,9,18360,Google,Gemma
37,31,46,mistral-medium-2508,1149,9,32615,Mistral,Proprietary
38,30,51,hunyuan-large-vision,1148,16,1461,Tencent,Proprietary
39,31,46,claude-3-5-sonnet-20240620,1147,9,21632,Anthropic,Proprietary
40,31,49,gpt-5-nano-high,1146,12,4107,OpenAI,Proprietary
41,31,46,llama-4-maverick-17b-128e-instruct,1146,9,7174,Meta,Llama 4
42,33,52,step-3,1141,12,3451,StepFun,Apache 2.0
43,33,52,mistral-small-2506,1140,10,11677,Mistral,Apache 2.0
44,34,52,gemini-1.5-flash-002,1138,9,7256,Google,Proprietary
45,33,54,claude-3-5-haiku-20241022,1135,15,1570,Anthropic,Proprietary
46,36,54,gemini-2.0-flash-lite-preview-02-05,1134,10,4001,Google,Proprietary
47,40,54,llama-4-scout-17b-16e-instruct,1126,10,6640,Meta,Llama
48,40,54,mistral-small-3.1-24b-instruct-2503,1126,9,27584,Mistral,Apache 2.0
49,40,54,step-1o-vision-32k-highres,1124,12,2844,StepFun,Proprietary
50,41,54,qwen2.5-vl-72b-instruct,1122,10,3767,Alibaba,Qwen
51,42,55,gpt-4o-2024-08-06,1119,12,3384,OpenAI,Proprietary
52,45,55,gemini-1.5-pro-001,1118,11,16735,Google,Proprietary
53,41,57,qwen2.5-vl-32b-instruct,1118,16,1490,Alibaba,Apache 2.0
54,45,57,gpt-4-turbo-2024-04-09,1113,11,13390,OpenAI,Proprietary
55,53,59,gpt-4o-mini-2024-07-18,1098,7,17362,OpenAI,Proprietary
56,53,59,pixtral-large-2411,1094,9,5439,Mistral,MRL
57,51,63,gpt-4.1-nano-2025-04-14,1089,18,1211,OpenAI,Proprietary
58,55,61,qwen2-vl-72b,1086,9,5946,Alibaba,Qwen
59,55,63,qwen-vl-max-1119,1086,15,1431,Alibaba,Proprietary
60,57,64,gemini-1.5-flash-8b-001,1070,10,6255,Google,Proprietary
61,58,65,claude-3-opus-20240229,1064,10,15568,Anthropic,Proprietary
62,57,65,step-1v-32k,1062,16,1551,StepFun,Proprietary
63,58,65,gemini-1.5-flash-001,1060,11,13261,Google,Proprietary
64,61,68,molmo-72b-0924,1048,12,3063,AI2,Apache 2.0
65,60,72,hunyuan-standard-vision-2024-12-31,1044,21,809,Tencent,Proprietary
66,64,72,llama-3.2-vision-90b-instruct,1033,8,8708,Meta,Llama 3.2
67,64,74,qwen2-vl-7b-instruct,1032,10,5778,Aliaba,Apache 2.0
68,65,74,pixtral-12b-2409,1025,9,7520,Mistral,Apache 2.0
69,64,75,internvl2-26b,1025,12,5146,OpenGVLab,MIT
70,65,77,amazon-nova-lite-v1.0,1021,15,1856,Amazon,Proprietary
71,65,77,amazon-nova-pro-v1.0,1021,13,2338,Amazon,Proprietary
72,65,76,claude-3-sonnet-20240229,1019,11,12314,Anthropic,Proprietary
73,67,79,yi-vision,1005,18,1220,01 AI,Proprietary
74,69,79,claude-3-haiku-20240307,1003,12,13380,Anthropic,Proprietary
75,67,81,c4ai-aya-vision-32b,1001,22,847,Cohere,CC-BY-NC-4.0
76,70,79,molmo-7b-d-0924,997,13,2828,AI2,Apache 2.0
77,73,79,llama-3.2-vision-11b-instruct,991,11,4818,Meta,Llama 3.2
78,71,83,nvila-internal-15b-v1,988,20,1078,NVIDIA,-
79,73,83,llava-onevision-qwen2-72b-ov,981,18,1321,LLaVA,Apache 2.0
80,78,83,llava-v1.6-34b,967,12,4531,LLaVA,Apache 2.0
81,77,83,minicpm-v-2_6,965,15,1987,OpenBMB,Apache 2.0
82,77,83,cogvlm2-llama3-chat-19b,964,15,1991,Zhipu AI,CogVLM2
83,78,83,internvl2-4b,958,12,3706,OpenGVLab,MIT
84,84,84,phi-3.5-vision-instruct,922,15,2592,Microsoft,MIT
85,85,85,phi-3-vision-128k-instruct,884,18,1401,Microsoft,MIT
